Word,Separated,Count
a-klasowy,a-kla-so-wy,4
aa,aa,1
aa-owiec,aa-o-wiec,3
aaa,a-aa,2
aachen,a-achen,2
aalborg,a-al-borg,3
aar,aar,1
aara,a-ara,2
abadańczyku,a-ba-dań-czy-ku,5
abadańscy,a-ba-dań-scy,4
abadańska,a-ba-dań-ska,4
abadańską,a-ba-dań-ską,4
abadański,a-ba-dań-ski,4
abadańskich,a-ba-dań-skich,4
abadańskie,a-ba-dań-skie,4
abadańskiego,a-ba-dań-skie-go,5
abadańskiej,a-ba-dań-skiej,4
abadańskiemu,a-ba-dań-skie-mu,5
abadańskim,a-ba-dań-skim,4
abadańskimi,a-ba-dań-ski-mi,5
abadańsku,a-ba-dań-sku,4
abaddon,a-bad-don,3
abak,a-bak,2
abaka,a-ba-ka,3
abakach,a-ba-kach,3
abakami,a-ba-ka-mi,4
abakan,a-ba-kan,3
abakance,a-ba-kan-ce,4
abakanek,a-ba-ka-nek,4
abakanem,a-ba-ka-nem,4
abakanie,a-ba-ka-nie,4
abakanka,a-ba-kan-ka,4
abakankach,a-ba-kan-kach,4
abakankami,a-ba-kan-ka-mi,5
abakanką,a-ba-kan-ką,4
abakankę,a-ba-kan-kę,4
abakanki,a-ba-kan-ki,4
abakanko,a-ba-kan-ko,4
abakankom,a-ba-kan-kom,4
abakanowi,a-ba-ka-no-wi,5
abakanowicz,a-ba-ka-no-wicz,5
abakanu,a-ba-ka-nu,4
abakańczycy,a-ba-kań-czy-cy,5
abakańczyk,a-ba-kań-czyk,4
abakańczyka,a-ba-kań-czy-ka,5
abakańczykach,a-ba-kań-czy-kach,5
abakańczykami,a-ba-kań-czy-ka-mi,6
abakańczyki,a-ba-kań-czy-ki,5
abakańczykiem,a-ba-kań-czy-kiem,5
abakańczykom,a-ba-kań-czy-kom,5
abakańczykowi,a-ba-kań-czy-ko-wi,6
abakańczyków,a-ba-kań-czy-ków,5
abakańczyku,a-ba-kań-czy-ku,5
abakańscy,a-ba-kań-scy,4
abakańska,a-ba-kań-ska,4
abakańską,a-ba-kań-ską,4
abakański,a-ba-kań-ski,4
abakańskich,a-ba-kań-skich,4
abakańskie,a-ba-kań-skie,4
abakańskiego,a-ba-kań-skie-go,5
abakańskiej,a-ba-kań-skiej,4
abakańskiemu,a-ba-kań-skie-mu,5
abakańskim,a-ba-kań-skim,4
abakańskimi,a-ba-kań-ski-mi,5
abakańskość,a-ba-kańs-kość,4
abakańsku,a-ba-kań-sku,4
abaką,a-ba-ką,3
abakę,a-ba-kę,3
abaki,a-ba-ki,3
abakiem,a-ba-kiem,3
abako,a-ba-ko,3
abakom,a-ba-kom,3
abakowi,a-ba-ko-wi,4
abaków,a-ba-ków,3
abaku,a-ba-ku,3
abakus,a-ba-kus,3
abakusa,a-ba-ku-sa,4
abakusach,a-ba-ku-sach,4
abakusami,a-ba-ku-sa-mi,5
abakusem,a-ba-ku-sem,4
abakusie,a-ba-ku-sie,4
abakusom,a-ba-ku-som,4
abakusowi,a-ba-ku-so-wi,5
abakusów,a-ba-ku-sów,4
abakusy,a-ba-ku-sy,4
abalietas,a-ba-lie-tas,4
abana,a-ba-na,3
abandon,a-ban-don,3
abandonach,a-ban-do-nach,4
abandonami,a-ban-do-na-mi,5
abandonem,a-ban-do-nem,4
abandonie,a-ban-do-nie,4
abandonom,a-ban-do-nom,4
abandonowi,a-ban-do-no-wi,5
abandonów,a-ban-do-nów,4
abandonu,a-ban-do-nu,4
abandony,a-ban-do-ny,4
abaris,a-ba-ris,3
abat,a-bat,2
abata,a-ba-ta,3
abatach,a-ba-tach,3
abatami,a-ba-ta-mi,4
abatem,a-ba-tem,3
abatom,a-ba-tom,3
abatowi,a-ba-to-wi,4
abatów,a-ba-tów,3
abaty,a-ba-ty,3
abatysa,a-ba-ty-sa,4
abatysach,a-ba-ty-sach,4
abatysami,a-ba-ty-sa-mi,5
abatysą,a-ba-ty-są,4
abatysę,a-ba-ty-sę,4
abatysie,a-ba-ty-sie,4
abatyso,a-ba-ty-so,4
abatysom,a-ba-ty-som,4
abatysy,a-ba-ty-sy,4
abazja,a-ba-zja,3
abazjach,a-ba-zjach,3
abazjami,a-ba-zja-mi,4
abazją,a-ba-zją,3
abazje,a-ba-zje,3
abazję,a-ba-zję,3
abazji,a-ba-zji,3
abazjo,a-ba-zjo,3
abazjom,a-ba-zjom,3
abazyj,a-ba-zyj,3
abażur,a-ba-żur,3
abażura,a-ba-żu-ra,4
abażurach,a-ba-żu-rach,4
abażurami,a-ba-żu-ra-mi,5
abażurek,a-ba-żu-rek,4
abażurem,a-ba-żu-rem,4
